AX: 0.61, AY: -0.79, AZ: -0.02, GX: -288.00, GY: -21.00, GZ: 2956.00

AX: 0.58, AY: -0.80, AZ: -0.01, GX: -287.00, GY: -15.00, GZ: 2954.00

AX: 0.59, AY: -0.81, AZ: -0.02, GX: -293.00, GY: -21.00, GZ: 2956.00

AX: 0.57, AY: -0.83, AZ: -0.02, GX: -299.00, GY: -17.00, GZ: 2958.00

AX: 0.56, AY: -0.82, AZ: -0.02, GX: -288.00, GY: -17.00, GZ: 2959.00

AX: 0.54, AY: -0.83, AZ: -0.01, GX: -290.00, GY: -18.00, GZ: 2965.00

AX: 0.54, AY: -0.85, AZ: -0.01, GX: -296.00, GY: -21.00, GZ: 2964.00

AX: 0.52, AY: -0.87, AZ: -0.02, GX: -297.00, GY: -17.00, GZ: 2967.00

AX: 0.51, AY: -0.86, AZ: -0.02, GX: -293.00, GY: -15.00, GZ: 2967.00

AX: 0.48, AY: -0.87, AZ: -0.02, GX: -293.00, GY: -21.00, GZ: 2969.00

AX: 0.48, AY: -0.89, AZ: -0.02, GX: -295.00, GY: -19.00, GZ: 2971.00

AX: 0.46, AY: -0.90, AZ: -0.02, GX: -294.00, GY: -20.00, GZ: 2968.00

AX: 0.45, AY: -0.89, AZ: -0.02, GX: -290.00, GY: -20.00, GZ: 2971.00

AX: 0.43, AY: -0.90, AZ: -0.02, GX: -292.00, GY: -15.00, GZ: 2971.00

AX: 0.42, AY: -0.92, AZ: -0.02, GX: -295.00, GY: -18.00, GZ: 2974.00

AX: 0.40, AY: -0.92, AZ: -0.02, GX: -298.00, GY: -23.00, GZ: 2975.00

AX: 0.40, AY: -0.92, AZ: -0.02, GX: -289.00, GY: -19.00, GZ: 2990.00

AX: 0.37, AY: -0.93, AZ: -0.02, GX: -295.00, GY: -18.00, GZ: 2998.00

AX: 0.37, AY: -0.94, AZ: -0.03, GX: -293.00, GY: -15.00, GZ: 3008.00

AX: 0.35, AY: -0.95, AZ: -0.02, GX: -292.00, GY: -20.00, GZ: 3014.00

AX: 0.34, AY: -0.95, AZ: -0.02, GX: -289.00, GY: -19.00, GZ: 3013.00

AX: 0.31, AY: -0.95, AZ: -0.01, GX: -296.00, GY: -16.00, GZ: 3012.00

AX: 0.31, AY: -0.96, AZ: -0.02, GX: -297.00, GY: -15.00, GZ: 3008.00

AX: 0.29, AY: -0.97, AZ: -0.02, GX: -294.00, GY: -16.00, GZ: 3011.00

AX: 0.28, AY: -0.97, AZ: -0.02, GX: -288.00, GY: -24.00, GZ: 3005.00

AX: 0.25, AY: -0.97, AZ: -0.03, GX: -290.00, GY: -17.00, GZ: 3001.00

AX: 0.25, AY: -0.98, AZ: -0.02, GX: -292.00, GY: -17.00, GZ: 3006.00

AX: 0.22, AY: -0.98, AZ: -0.02, GX: -293.00, GY: -17.00, GZ: 3002.00

AX: 0.21, AY: -0.98, AZ: -0.02, GX: -291.00, GY: -16.00, GZ: 3007.00

AX: 0.19, AY: -0.98, AZ: -0.02, GX: -293.00, GY: -15.00, GZ: 3007.00

AX: 0.19, AY: -0.99, AZ: -0.03, GX: -295.00, GY: -17.00, GZ: 3005.00

AX: 0.16, AY: -0.99, AZ: -0.03, GX: -297.00, GY: -19.00, GZ: 3003.00

AX: 0.15, AY: -0.99, AZ: -0.03, GX: -292.00, GY: -21.00, GZ: 3002.00

AX: 0.13, AY: -1.00, AZ: -0.03, GX: -296.00, GY: -18.00, GZ: 3002.00

AX: 0.12, AY: -1.00, AZ: -0.03, GX: -296.00, GY: -15.00, GZ: 3003.00

AX: 0.09, AY: -1.00, AZ: -0.03, GX: -292.00, GY: -16.00, GZ: 3002.00

AX: 0.09, AY: -1.00, AZ: -0.03, GX: -292.00, GY: -25.00, GZ: 3004.00

AX: 0.06, AY: -1.01, AZ: -0.03, GX: -298.00, GY: -18.00, GZ: 3008.00

AX: 0.06, AY: -1.01, AZ: -0.03, GX: -295.00, GY: -17.00, GZ: 3017.00

AX: 0.03, AY: -1.01, AZ: -0.03, GX: -294.00, GY: -14.00, GZ: 3027.00

AX: 0.02, AY: -1.00, AZ: -0.03, GX: -292.00, GY: -15.00, GZ: 3039.00

AX: -0.00, AY: -1.01, AZ: -0.03, GX: -295.00, GY: -14.00, GZ: 3046.00

AX: -0.01, AY: -1.01, AZ: -0.03, GX: -295.00, GY: -17.00, GZ: 3043.00

AX: -0.03, AY: -1.01, AZ: -0.04, GX: -296.00, GY: -15.00, GZ: 3042.00

AX: -0.04, AY: -1.00, AZ: -0.03, GX: -295.00, GY: -20.00, GZ: 3042.00

AX: -0.07, AY: -1.01, AZ: -0.03, GX: -298.00, GY: -17.00, GZ: 3042.00

AX: -0.07, AY: -1.00, AZ: -0.04, GX: -293.00, GY: -18.00, GZ: 3046.00

AX: -0.10, AY: -1.01, AZ: -0.03, GX: -298.00, GY: -16.00, GZ: 3047.00

AX: -0.11, AY: -1.00, AZ: -0.03, GX: -295.00, GY: -17.00, GZ: 3052.00

AX: -0.13, AY: -1.00, AZ: -0.03, GX: -302.00, GY: -17.00, GZ: 3055.00

AX: -0.14, AY: -1.00, AZ: -0.03, GX: -291.00, GY: -22.00, GZ: 3054.00

AX: -0.16, AY: -1.00, AZ: -0.04, GX: -300.00, GY: -19.00, GZ: 3057.00

AX: -0.17, AY: -0.99, AZ: -0.03, GX: -295.00, GY: -17.00, GZ: 3054.00

AX: -0.20, AY: -1.00, AZ: -0.04, GX: -294.00, GY: -15.00, GZ: 3058.00

AX: -0.20, AY: -0.99, AZ: -0.04, GX: -295.00, GY: -20.00, GZ: 3055.00

AX: -0.22, AY: -0.98, AZ: -0.04, GX: -300.00, GY: -18.00, GZ: 3056.00

AX: -0.24, AY: -0.98, AZ: -0.04, GX: -296.00, GY: -19.00, GZ: 3046.00

AX: -0.26, AY: -0.98, AZ: -0.04, GX: -297.00, GY: -16.00, GZ: 3049.00

AX: -0.27, AY: -0.97, AZ: -0.04, GX: -294.00, GY: -21.00, GZ: 3048.00

AX: -0.29, AY: -0.97, AZ: -0.04, GX: -296.00, GY: -19.00, GZ: 3054.00

AX: -0.30, AY: -0.96, AZ: -0.05, GX: -293.00, GY: -20.00, GZ: 3056.00

AX: -0.32, AY: -0.96, AZ: -0.04, GX: -294.00, GY: -16.00, GZ: 3066.00

AX: -0.33, AY: -0.95, AZ: -0.03, GX: -294.00, GY: -16.00, GZ: 3067.00

AX: -0.35, AY: -0.95, AZ: -0.04, GX: -298.00, GY: -13.00, GZ: 3066.00

AX: -0.36, AY: -0.94, AZ: -0.04, GX: -294.00, GY: -19.00, GZ: 3061.00

AX: -0.38, AY: -0.94, AZ: -0.04, GX: -295.00, GY: -14.00, GZ: 3056.00

AX: -0.39, AY: -0.93, AZ: -0.04, GX: -298.00, GY: -24.00, GZ: 3051.00

AX: -0.42, AY: -0.93, AZ: -0.04, GX: -300.00, GY: -17.00, GZ: 3046.00

AX: -0.42, AY: -0.92, AZ: -0.04, GX: -296.00, GY: -19.00, GZ: 3047.00

AX: -0.45, AY: -0.91, AZ: -0.05, GX: -299.00, GY: -21.00, GZ: 3044.00

AX: -0.44, AY: -0.90, AZ: -0.05, GX: -294.00, GY: -20.00, GZ: 3045.00

AX: -0.47, AY: -0.90, AZ: -0.05, GX: -294.00, GY: -18.00, GZ: 3042.00

AX: -0.47, AY: -0.89, AZ: -0.04, GX: -295.00, GY: -21.00, GZ: 3044.00

AX: -0.50, AY: -0.88, AZ: -0.05, GX: -301.00, GY: -16.00, GZ: 3045.00

AX: -0.50, AY: -0.88, AZ: -0.06, GX: -293.00, GY: -17.00, GZ: 3042.00

AX: -0.52, AY: -0.87, AZ: -0.05, GX: -298.00, GY: -16.00, GZ: 3036.00

AX: -0.53, AY: -0.85, AZ: -0.05, GX: -298.00, GY: -23.00, GZ: 3037.00

AX: -0.56, AY: -0.85, AZ: -0.06, GX: -295.00, GY: -14.00, GZ: 3032.00

AX: -0.55, AY: -0.83, AZ: -0.06, GX: -296.00, GY: -19.00, GZ: 3030.00

