AX: 0.98, AY: -2.22, AZ: 0.00, GX: -2306.00, GY: 469.00, GZ: 32767.00

AX: 0.93, AY: -2.58, AZ: 0.00, GX: -2308.00, GY: 470.00, GZ: 32767.00

AX: 0.73, AY: -2.88, AZ: -0.00, GX: -2299.00, GY: 474.00, GZ: 32767.00

AX: 0.46, AY: -3.11, AZ: -0.02, GX: -2305.00, GY: 478.00, GZ: 32767.00

AX: 0.11, AY: -3.21, AZ: -0.02, GX: -2309.00, GY: 475.00, GZ: 32767.00

AX: -0.28, AY: -3.15, AZ: -0.02, GX: -2307.00, GY: 480.00, GZ: 32767.00

AX: -0.61, AY: -2.98, AZ: -0.05, GX: -2313.00, GY: 477.00, GZ: 32767.00

AX: -0.86, AY: -2.68, AZ: -0.04, GX: -2315.00, GY: 473.00, GZ: 32767.00

AX: -1.00, AY: -2.33, AZ: -0.05, GX: -2318.00, GY: 475.00, GZ: 32767.00

AX: -1.01, AY: -1.95, AZ: -0.06, GX: -2318.00, GY: 473.00, GZ: 32767.00

AX: -0.87, AY: -1.62, AZ: -0.05, GX: -2324.00, GY: 472.00, GZ: 32767.00

AX: -0.61, AY: -1.35, AZ: -0.04, GX: -2320.00, GY: 464.00, GZ: 32767.00

AX: -0.28, AY: -1.23, AZ: -0.04, GX: -2323.00, GY: 463.00, GZ: 32767.00

AX: 0.09, AY: -1.22, AZ: -0.03, GX: -2313.00, GY: 463.00, GZ: 32767.00

AX: 0.45, AY: -1.37, AZ: -0.02, GX: -2307.00, GY: 464.00, GZ: 32767.00

AX: 0.74, AY: -1.63, AZ: -0.02, GX: -2309.00, GY: 463.00, GZ: 32767.00

AX: 0.93, AY: -1.96, AZ: -0.01, GX: -2306.00, GY: 467.00, GZ: 32767.00

AX: 0.98, AY: -2.33, AZ: -0.01, GX: -2308.00, GY: 467.00, GZ: 32767.00

AX: 0.86, AY: -2.67, AZ: -0.00, GX: -2296.00, GY: 474.00, GZ: 32767.00

AX: 0.62, AY: -2.98, AZ: -0.00, GX: -2307.00, GY: 477.00, GZ: 32767.00

AX: 0.28, AY: -3.15, AZ: -0.02, GX: -2307.00, GY: 477.00, GZ: 32767.00

AX: -0.09, AY: -3.19, AZ: -0.03, GX: -2305.00, GY: 482.00, GZ: 32767.00

AX: -0.44, AY: -3.11, AZ: -0.04, GX: -2310.00, GY: 481.00, GZ: 32767.00

AX: -0.75, AY: -2.88, AZ: -0.05, GX: -2316.00, GY: 479.00, GZ: 32767.00

AX: -0.96, AY: -2.58, AZ: -0.06, GX: -2326.00, GY: 480.00, GZ: 32767.00

AX: -1.03, AY: -2.21, AZ: -0.05, GX: -2328.00, GY: 470.00, GZ: 32767.00

AX: -0.96, AY: -1.85, AZ: -0.06, GX: -2326.00, GY: 472.00, GZ: 32767.00

AX: -0.75, AY: -1.53, AZ: -0.06, GX: -2323.00, GY: 464.00, GZ: 32767.00

AX: -0.46, AY: -1.30, AZ: -0.05, GX: -2320.00, GY: 464.00, GZ: 32767.00

AX: -0.09, AY: -1.21, AZ: -0.04, GX: -2318.00, GY: 460.00, GZ: 32767.00

AX: 0.28, AY: -1.26, AZ: -0.03, GX: -2316.00, GY: 460.00, GZ: 32767.00

AX: 0.62, AY: -1.43, AZ: -0.02, GX: -2306.00, GY: 458.00, GZ: 32767.00

AX: 0.86, AY: -1.72, AZ: -0.02, GX: -2308.00, GY: 460.00, GZ: 32767.00

