AX: 0.21, AY: -0.99, AZ: -0.03, GX: -373.00, GY: -1.00, GZ: 5689.00

AX: 0.17, AY: -1.00, AZ: -0.03, GX: -375.00, GY: 1.00, GZ: 5690.00

AX: 0.14, AY: -1.01, AZ: -0.02, GX: -376.00, GY: 1.00, GZ: 5694.00

AX: 0.11, AY: -1.01, AZ: -0.03, GX: -377.00, GY: 0.00, GZ: 5691.00

AX: 0.08, AY: -1.01, AZ: -0.04, GX: -374.00, GY: 0.00, GZ: 5698.00

AX: 0.05, AY: -1.02, AZ: -0.03, GX: -380.00, GY: -3.00, GZ: 5709.00

AX: 0.02, AY: -1.02, AZ: -0.03, GX: -381.00, GY: 1.00, GZ: 5716.00

AX: -0.00, AY: -1.02, AZ: -0.04, GX: -373.00, GY: -1.00, GZ: 5721.00

AX: -0.03, AY: -1.02, AZ: -0.03, GX: -379.00, GY: -4.00, GZ: 5716.00

AX: -0.07, AY: -1.02, AZ: -0.04, GX: -381.00, GY: 1.00, GZ: 5719.00

AX: -0.10, AY: -1.01, AZ: -0.04, GX: -380.00, GY: 1.00, GZ: 5723.00

AX: -0.12, AY: -1.00, AZ: -0.04, GX: -380.00, GY: -1.00, GZ: 5723.00

AX: -0.16, AY: -1.01, AZ: -0.04, GX: -379.00, GY: -1.00, GZ: 5726.00

AX: -0.19, AY: -1.00, AZ: -0.04, GX: -379.00, GY: 0.00, GZ: 5730.00

AX: -0.22, AY: -1.00, AZ: -0.04, GX: -380.00, GY: 2.00, GZ: 5720.00

AX: -0.25, AY: -0.99, AZ: -0.04, GX: -380.00, GY: 0.00, GZ: 5724.00

AX: -0.28, AY: -0.98, AZ: -0.05, GX: -377.00, GY: -3.00, GZ: 5729.00

AX: -0.30, AY: -0.97, AZ: -0.04, GX: -379.00, GY: -1.00, GZ: 5734.00

AX: -0.33, AY: -0.96, AZ: -0.04, GX: -381.00, GY: 5.00, GZ: 5742.00

AX: -0.35, AY: -0.95, AZ: -0.04, GX: -377.00, GY: -3.00, GZ: 5736.00

AX: -0.39, AY: -0.94, AZ: -0.05, GX: -380.00, GY: -2.00, GZ: 5726.00

AX: -0.42, AY: -0.92, AZ: -0.04, GX: -378.00, GY: -4.00, GZ: 5727.00

AX: -0.45, AY: -0.92, AZ: -0.04, GX: -376.00, GY: 0.00, GZ: 5724.00

AX: -0.47, AY: -0.91, AZ: -0.04, GX: -376.00, GY: -4.00, GZ: 5719.00

AX: -0.50, AY: -0.88, AZ: -0.05, GX: -382.00, GY: -1.00, GZ: 5716.00

AX: -0.53, AY: -0.87, AZ: -0.05, GX: -374.00, GY: -1.00, GZ: 5711.00

AX: -0.56, AY: -0.85, AZ: -0.06, GX: -377.00, GY: 4.00, GZ: 5704.00

AX: -0.58, AY: -0.83, AZ: -0.05, GX: -376.00, GY: -1.00, GZ: 5707.00

AX: -0.60, AY: -0.82, AZ: -0.06, GX: -379.00, GY: 2.00, GZ: 5712.00

AX: -0.63, AY: -0.80, AZ: -0.05, GX: -377.00, GY: -3.00, GZ: 5709.00

AX: -0.66, AY: -0.79, AZ: -0.05, GX: -381.00, GY: 4.00, GZ: 5713.00

AX: -0.67, AY: -0.77, AZ: -0.06, GX: -377.00, GY: -3.00, GZ: 5704.00

AX: -0.70, AY: -0.74, AZ: -0.06, GX: -375.00, GY: 5.00, GZ: 5700.00

AX: -0.72, AY: -0.72, AZ: -0.06, GX: -377.00, GY: 1.00, GZ: 5702.00

AX: -0.74, AY: -0.70, AZ: -0.06, GX: -377.00, GY: 1.00, GZ: 5698.00

AX: -0.75, AY: -0.68, AZ: -0.06, GX: -381.00, GY: -3.00, GZ: 5695.00

AX: -0.78, AY: -0.65, AZ: -0.06, GX: -375.00, GY: -3.00, GZ: 5691.00

AX: -0.80, AY: -0.63, AZ: -0.06, GX: -377.00, GY: -3.00, GZ: 5689.00

AX: -0.82, AY: -0.60, AZ: -0.05, GX: -380.00, GY: 1.00, GZ: 5689.00

AX: -0.83, AY: -0.58, AZ: -0.05, GX: -376.00, GY: -5.00, GZ: 5688.00

AX: -0.86, AY: -0.56, AZ: -0.06, GX: -383.00, GY: 0.00, GZ: 5692.00

AX: -0.86, AY: -0.53, AZ: -0.06, GX: -376.00, GY: -3.00, GZ: 5694.00

AX: -0.89, AY: -0.50, AZ: -0.07, GX: -380.00, GY: 3.00, GZ: 5693.00

AX: -0.89, AY: -0.47, AZ: -0.06, GX: -378.00, GY: -2.00, GZ: 5687.00

AX: -0.92, AY: -0.44, AZ: -0.07, GX: -384.00, GY: 5.00, GZ: 5685.00

AX: -0.91, AY: -0.43, AZ: -0.06, GX: -377.00, GY: 1.00, GZ: 5684.00

AX: -0.94, AY: -0.40, AZ: -0.06, GX: -379.00, GY: -5.00, GZ: 5685.00

